ALFKI,Maria Anders,Obere Str. 57,030-0074321 
ANATR,Ana Trujillo,Avda. de la Constituci¢n 2222,(5) 555-4729
ANTON,Antonio Moreno,Mataderos  2312,(5) 555-3932
AROUT,Thomas Hardy,120 Hanover Sq.,(171) 555-7788
BERGS,Christina Berglund,BerguvsvÑgen  8,0921-12 34 65
BLAUS,Hanna Moos,Forsterstr. 57,0621-08460
BLONP,Frederique Citeaux,24 Place Kleber,88.60.15.31
BOLID,Martin Sommer,C/ Araquil 67,(91) 555 22 82
BONAP,Laurence Lebihan,12 rue des Bouchers,91.24.45.40
BOTTM,Elizabeth Lincoln,23 Tsawassen Blvd.,(604) 555-4729
BSBEV,Victoria Ashworth,Fauntleroy Circus,(171) 555-1212
CACTU,Patricio Simpson,Cerrito 333,(1) 135-5555
CENTC,Francisco Chang,Sierras de Granada 9993,(5) 555-3392
CHOPS,Yang Wang,Hauptstr. 29,0452-076545
COMMI,Pedro Afonso,Av. dos Lusiadas 23,(11) 555-7647
CONSH,Elizabeth Brown,Berkeley Gardens 12  Brewery ,(171) 555-2282
DRACD,Sven Ottlieb,Walserweg 21,0241-039123
DUMON,Janine Labrune,67 rue des Cinquante Otages,40.67.88.88
EASTC,Ann Devon,35 King George,(171) 555-0297
ERNSH,Roland Mendel,Kirchgasse 6,7675-3425
FAMIA,Aria Cruz,Rua Oros 92,(11) 555-9857
FISSA,Diego Roel,C/ Moralzarzal 86,(91) 555 94 44
FOLIG,Martine Rance,184 chausse de Tournai,20.16.10.16
FOLKO,Maria Larsson,èkergatan 24,0695-34 67 21
FRANK,Peter Franken,Berliner Platz 43,089-0877310
FRANR,Carine Schmitt,54 rue Royale,40.32.21.21
FRANS,Paolo Accorti,Via Monte Bianco 34,011-4988260
FURIB,Lino Rodriguez,Jardim das rosas n. 32,(1) 354-2534
GALED,Eduardo Saavedra,Rambla de Catalu§a 23,(93) 203 4560
GODOS,Jose Pedro Freyre,C/ Romero 33,(95) 555 82 82
GOURL,AndrÇ Fonseca,Av. Brasil 442,(11) 555-9482
GREAL,Howard Snyder,2732 Baker Blvd.,(503) 555-7555
GROSR,Manuel Pereira,5 Ave. Los Palos Grandes,(2) 283-2951
HANAR,Mario Pontes,Rua do Paco 67,(21) 555-0091
HILAA,Carlos Hernandez,Carrera 22 con Ave. Carlos Soublette #8-35,(5) 555-1340
HUNGC,Yoshi Latimer,City Center Plaza 516 Main St.,(503) 555-6874
HUNGO,Patricia McKenna,8 Johnstown Road,2967 542
ISLAT,Helen Bennett,Garden House Crowther Way,(198) 555-8888
KOENE,Philip Cramer,Maubelstr. 90,0555-09876
LACOR,Daniel Tonini,67 avenue de l'Europe,30.59.84.10
LAMAI,Annette Roulet,1 rue Alsace-Lorraine,61.77.61.10
LAUGB,Yoshi Tannamuri,1900 Oak St.,(604) 555-3392
LAZYK,John Steel,12 Orchestra Terrace,(509) 555-7969
LEHMS,Renate Messner,Magazinweg 7,069-0245984
